id	declared_type	grounded_type	coverage	classification	n_corrections	grounded_source	gpt_claimed_source	span	correction_top	gpt_rationale
R002430:a3	hadith	quran	0.15	likely_WRONG_topical_drift	8	سورة البقرة 43	سورة البقرة 43	لا تُقسِطوا وَلَا تُقَطِّعوا وَلا تَبَطِّشوا، وَلا تَأْخُذوا بِالبِيِّينَ، وَأَقِمُوا الصَلاةَ وَآتُوا الزَكَاةَ، فَإِنَّ اللَّهَ أَنتَظَمَ أَجرَها عَنكُمْ وَأَجرَ أَجرِ العَبدِ الصِدِّيقِ الَّذي يَعملُ بِدِيْنِهِ وَيُعَلِّمُ النَاسَ مِن دِيْنِ اللَّهِ	وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ	النصُّ مُختلِطٌ ومُفَبْرَكٌ في أكثره، ولا يُعرَف منه حديثٌ نبويٌّ في الكتب الستة. لكن فيه عبارةً قرآنيةً صحيحةً متصلةً هي: 'وأقيموا الصلاة وآتوا الزكاة'، وهي ليست حديثًا بل آية/جزء آية، وتَرِدُ بهذا اللفظ في عدة مواضع من القرآن؛ وما عداها في السياق لا يطابق نصًّا قانونيًّا معروفًا.
R004013:a4	hadith	quran	0.17	likely_WRONG_topical_drift	1	سورة الجن 1	سورة الجن 1	قُلْ تَعَالَى: أُوحِيَ إِلَيَّ أَنَّهُ مَنِ اعْتَدَى فِي الْأَرْضِ فَلَيْسَ كَمَنِ اعْتَدَى عَلَى نَفْسِهِ وَمَنِ اعْتَدَى عَلَى نَفْسِهِ فَلَيْسَ كَمَنِ اعْتَدَى عَلَى نَفْسِهِ وَمَنِ اعْتَدَى عَلَى نَفْسِهِ فَلَيْسَ كَمَنِ اعْتَدَى عَلَى نَفْسِهِ	قُلْ أُوحِيَ إِلَيَّ أَنَّهُ اسْتَمَعَ نَفَرٌ مِنَ الْجِنِّ فَقَالُوا إِنَّا سَمِعْنَا قُرْآنًا عَجَبًا	النصّ في جملته ملفق/مضطرب، لكن صدره يقتبس اقتباسًا قصيرًا حقيقيًّا: العبارة المتصلة «أوحي إلي أنه» تطابق افتتاح سورة الجن «قُلْ أُوحِيَ إِلَيَّ أَنَّهُ ...». أمّا بقية الكلام «من اعتدى في الأرض...»، فلا تُطابق نصًّا قرآنيًّا ولا حديثيًّا canonical match بعبارة متصلة من مصدر واحد.
R004675:a2	hadith	quran	0.18	likely_WRONG_topical_drift	2	سورة الأنبياء 87	سورة الأنبياء 87	مَنْ غَدَا إِلَى الْجَامِعِ أَوْ رَاحَ فَرَأَى فِيهِ نُفُورًا أَوْ حَدِيقَةً فَلَمْ يَأْكُلْ مِنْهَا أَوْ مَسَحَ بِهَا وَجْهَهُ فَلَمْ يَرْجِعْ حَتَّى يَذْكُرَ اللَّهَ عَزَّ وَجَلَّ فَيَقُولُ: سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لِنَسْتَطِيعَهُ مُطْلَقًا إِلَّا بِعَوْنِهِ ثُمَّ يَقُولُ: اللَّهُمَّ لَا إِلَهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنتُ مِنَ الْجَاهِلِينَ	وَذَا النُّونِ إِذْ ذَهَبَ مُغَاضِبًا فَظَنَّ أَنْ لَنْ نَقْدِرَ عَلَيْهِ فَنَادَىٰ فِي الظُّلُمَاتِ أَنْ لَا إِلَـٰهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ	النص ملفَّقٌ ومركَّب: صدره ('من غدا إلى الجامع أو راح...' إلى 'فلم يرجع...') لا يطابق حديثًا canonical بعبارة متصلة معتبرة، لكن آخره يشتمل على اقتباسين قرآنيين محرَّفين مع عبارتين متصلتين واضحتين: 'سبحان الذي سخر لنا هذا وما كنا...' من الزخرف 13، و'لا إله إلا أنت سبحانك إني كنت من...' من الأنبياء 87. لذا هو recoverable جزئيًّا إلى هاتين الآيتين فقط، لا إلى حديث واحد.
R001065:a2	hadith	quran	0.18	likely_WRONG_topical_drift	3	سورة لقمان 26	سورة لقمان 26	وإذا أحضرتم أضحية فأضحيتم بأسمي فأمتعوا وأطعموا المسافرين والمساكين وأعلموا أن الله هو الغني الحميد	لِلَّهِ مَا فِي السَّمَاوَاتِ وَالْأَرْضِ ۚ إِنَّ اللَّهَ هُوَ الْغَنِيُّ الْحَمِيدُ	العبارة في معظمها تركيب غير canonical يمزج ألفاظ الأضحية والإطعام بعبارة قرآنية ختامية؛ افتتاحها لا يطابق حديثًا ولا آيةً مطابقةً متصلة. الجزء الوحيد المستعاد بوضوح هو الخاتمة: 'الله هو الغني الحميد'، وتَرِدُ بهذا اللفظ في لقمان 26 والحديد 24، وبقدر أقصر 'هو الغني الحميد' في فاطر 15.
R003088:a4	hadith	quran	0.19	likely_WRONG_topical_drift	1	سورة المائدة 65	سورة المائدة 65	وَلَوْ أَنَّ أَهْلَ الْكِتَابِ آمَنُوا بِما أُنزِلَ عَلَيْهِمْ لَكَانُوا أَهْلَ بَيْتٍ مَكِينَةً وَلَوْ آمَنُوا بِما أُنزِلَ عَلَيْكُمْ لَكَانُوا مِنْكُمْ وَلَكِنَّ اللَّهَ عَلَى مَعْرِفَتِهِ بِمَنْ يَصْعَبُ عَلَيْهِ الْهُدَىٰ وَيُجْزِي مَنْ كَانَ مُسْرِعًا فِي الْخَيْرِ وَمُتَّبِعًا لِسَبِيلِ اللَّهِ سُبْحَانَهُ وَتَعَالَىٰ	وَلَوْ أَنَّ أَهْلَ الْكِتَابِ آمَنُوا وَاتَّقَوْا لَكَفَّرْنَا عَنْهُمْ سَيِّئَاتِهِمْ وَلَأَدْخَلْنَاهُمْ جَنَّاتِ النَّعِيمِ	The span is largely a stitched fabrication of Quranic-sounding phrases, not a hadith. Its only clear recoverable canonical fragment is the exact opening run 'ولو أن أهل الكتاب آمنوا', which matches سورة المائدة 65. The remaining wording ('بما أنزل عليهم... أهل بيت مكينة... ولكن الله على معرفته...') does not reproduce a meaningful contiguous phrase from any single canonical text.
R000375:a4	hadith	quran	0.19	likely_WRONG_topical_drift	1	سورة البقرة 144	سورة البقرة 144	كان رسول الله صلى الله عليه وسلم يصلي في بيت أم حبيبة، وكانت بينه وبين بيت المقدس مسافة، وكان يلتفت يميناً وشمالاً، فنزلت عليه {قد نرى تقلب وجهك في السماء} [البقرة: 144] فحول الله قبلته إلى الكعبة	قَدْ نَرَىٰ تَقَلُّبَ وَجْهِكَ فِي السَّمَاءِ ۖ فَلَنُوَلِّيَنَّكَ قِبْلَةً تَرْضَاهَا ۚ فَوَلِّ وَجْهَكَ شَطْرَ الْمَسْجِدِ الْحَرَامِ ۚ وَحَيْثُ مَا كُنْتُمْ فَوَلُّوا وُجُوهَكُمْ شَطْرَهُ ۗ وَإِنَّ الَّذِينَ أُوتُوا الْكِتَابَ لَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِنْ رَبِّهِمْ ۗ وَمَا اللَّهُ بِغَافِلٍ عَمَّا يَعْمَلُونَ	العبارة ليست حديثًا نبويًا محفوظًا في الكتب الستة؛ صدرها وسياقها («في بيت أم حبيبة... وكانت بينه وبين بيت المقدس مسافة... وكان يلتفت يمينًا وشمالًا») لا يطابقان متنًا حديثيًا واحدًا، لكن فيها اقتباس قرآني صحيح متصل هو «قد نرى تقلب وجهك في السماء» من البقرة 144، ثم لُفِّق حوله خبر غير ثابت بهذا اللفظ.
R003753:a8	hadith	quran	0.2	likely_WRONG_topical_drift	1	سورة فصلت 22	سورة فصلت 22	من أحسب أن الله لا يعلم بما تفعلون فقد كفر	وَمَا كُنْتُمْ تَسْتَتِرُونَ أَنْ يَشْهَدَ عَلَيْكُمْ سَمْعُكُمْ وَلَا أَبْصَارُكُمْ وَلَا جُلُودُكُمْ وَلَـٰكِنْ ظَنَنْتُمْ أَنَّ اللَّهَ لَا يَعْلَمُ كَثِيرًا مِمَّا تَعْمَلُونَ	"ليس له أصلٌ كحديث نبوي في الكتب الستة بهذا اللفظ، لكنه يُستَعاد بوصفه تحريفًا لعبارة قرآنية من سورة فصلت؛ إذ يطابق منه تطابقًا متصلًا ذا معنى قولُه: ""أن الله لا يعلم""، مع تبديل ""كثيرًا مما تعملون"" إلى ""بما تفعلون""، وزيادة حكمٍ دخيلٍ هو ""فقد كفر""."
R003753:a6	hadith	quran	0.2	likely_WRONG_topical_drift	1	سورة فصلت 22	سورة فصلت 22	من أحسب أن الله لا يعلم بما تفعلون فقد كفر	وَمَا كُنْتُمْ تَسْتَتِرُونَ أَنْ يَشْهَدَ عَلَيْكُمْ سَمْعُكُمْ وَلَا أَبْصَارُكُمْ وَلَا جُلُودُكُمْ وَلَـٰكِنْ ظَنَنْتُمْ أَنَّ اللَّهَ لَا يَعْلَمُ كَثِيرًا مِمَّا تَعْمَلُونَ	العبارة ليست حديثًا ثابتًا بهذا اللفظ، وأقرب ما تُستعاد منه آية من القرآن في سورة فصلت؛ إذ تحتفظ بعبارة متصلة ذات دلالة: 'أَنَّ اللَّهَ لَا يَعْلَمُ'، وتُحاكي 'مِّمَّا تَعْمَلُونَ' بقولها 'بما تفعلون'. أما 'من أحسب' و'فقد كفر' فزيادتان غير قرآنيتين، ولا يظهر لها متن حديثيٌّ مطابق في الكتب الستة.
R004694:a2	hadith	quran	0.2	likely_WRONG_topical_drift	2	سورة الأنعام 151	سورة الأنعام 151	لا تقتلوا النفس التي تحبتها، و لا تستحققوا الموت في قتل نفسك، و لا تدعو الله بموتك، و لا تدعو الله بالسلام	۞ قُلْ تَعَالَوْا أَتْلُ مَا حَرَّمَ رَبُّكُمْ عَلَيْكُمْ ۖ أَلَّا تُشْرِكُوا بِهِ شَيْئًا ۖ وَبِالْوَالِدَيْنِ إِحْسَانًا ۖ وَلَا تَقْتُلُوا أَوْلَادَكُمْ مِنْ إِمْلَاقٍ ۖ نَحْنُ نَرْزُقُكُمْ وَإِيَّاهُمْ ۖ وَلَا تَقْرَبُوا الْفَوَاحِشَ مَا ظَهَرَ مِنْهَا وَمَا بَطَنَ ۖ وَلَا تَقْتُلُوا النَّفْسَ الَّتِي حَرَّمَ اللَّهُ إِلَّا بِالْحَقِّ ۚ ذَٰلِكُمْ وَصَّاكُمْ بِهِ لَعَلَّكُمْ تَعْقِلُونَ	"الافتتاحية فقط قابلة للاسترداد: العبارة ""لا تقتلوا النفس التي"" تطابق مطلع الجملة القرآنية ""وَلَا تَقْتُلُوا النَّفْسَ الَّتِي حَرَّمَ اللَّهُ إِلَّا بِالْحَقِّ""، وهي واردة بالنص نفسه في الأنعام 151 والإسراء 33. أما بقية span (عن الموت والدعاء والسلام) فمركبة ومضطربة، ولا تُطابق بعبارة متصلة نصًّا حديثيًّا صحيحًا من الكتب الستة."
R002531:a5	hadith	quran	0.21	likely_WRONG_topical_drift	6	سورة النحل 96	سورة النحل 96	لَقَدْ جَاءَكُمْ رَسُولٌ مِنْكُمْ يَهْرُسُ عَلَيْكُمْ، فَمَنْ أَطَاعَهُ فَقَدْ أَطَاعَ ٱللَّهَ، وَمَنْ عَصَاهُ فَقَدْ عَصَى ٱللَّهَ، وَالصَّابِرُونَ يُجْزَوْنَ بِأَحْسَنِ مَا كَانُوا يَعْمَلُونَ.	مَا عِنْدَكُمْ يَنْفَدُ ۖ وَمَا عِنْدَ اللَّهِ بَاقٍ ۗ وَلَنَجْزِيَنَّ الَّذِينَ صَبَرُوا أَجْرَهُمْ بِأَحْسَنِ مَا كَانُوا يَعْمَلُونَ	النص مركب من شذرات قرآنية لا من حديث واحد: أوله يقتبس عبارة «لقد جاءكم رسول» من التوبة 128، ووسطه يلمح إلى النساء 80 في «فقد أطاع الله» بعد تحويل «مَن يُطِعِ الرَّسُولَ» إلى «فمن أطاعه»، وآخره يقتبس «بأحسن ما كانوا يعملون» من النحل 96 مع تحوير «الذين صبروا» إلى «الصابرون يجزون». لذلك هو قابل للاسترداد بوصفه خليطًا من آيات، لا متنًا نبويًا صحيحًا مستقلًا.
