prompt,Source,Classification
?? ??????? ??????? ????????,Chat Messages_2025_10_natural_instruct,1
"?? ?? ???????? ???? ???? ??""??? ????????""?",production_user_and_guest_chat_messages,1
??? ?????? ?????? ?? ??? ????? ???????,production_user_and_guest_chat_messages,1
"???? ?? ?????? ?? ??????? ???? ?? ???????? 
???? ?? ??? ?????? ???? ?? 30 ?????",production_user_and_guest_chat_messages,1
?? ?????? ??? ???? ??? ??? ????? ???? ???????,production_user_and_guest_chat_messages,1
????? ???????? ??????? ????? ?????? ?????? ??? ????????? ?????????? ??????????? ???? ??? ???? ????? ??????? ?????? ??? ??????? ???????? ????????? ?????? ???? ??? ?????? ???? ?????? ?????? ??????? ??? ??????? ??????? ??? ???? ?? ????.,Chat Messages_2025_12_Staging,0
?????? ???? ?????? ??????? ????? ?? ????? ????? ??????? (??????). ???? ??????? ???????? ??????-???? ?? ????? ?????????: ????? ?????? ?????? ???????? ????? ??? ????? ??? ??? ??????? ????????.,Chat Messages_2025_12_Staging,1
?? ????? ??? ????? ????????? ?? ???????? ???? ?????? ???????.,Chat Messages_2025_10_natural_instruct,1
??? ?? ??? ?????,production_user_and_guest_chat_messages,1
???? ???? ???? ?????,production_user_and_guest_chat_messages,1
????? ????? ???? ?? ?????? ??? ???? ??? ?? ???? ??? ?????? ????,production_user_and_guest_chat_messages,1
"???? ????? ??? ????????: ???? ???????? ????? ??????? ??: ?? ???? ??? ????? ?? ????? ??? ??? ????? ?? ???? ?? ??? ?? ??????? ??? ???? ?????? ?? ????? ????? ?? ????? ????? ??? ?????? ???? ???? ?? ???? ??? ????? ????? ??? ????? ????? ???? ???????.

???? ?????? ??: ?? ???? ????? ????? ??? ????? ?????? ???? ????? ?? ?????? ????? ???? ??? ??????? ?? ??? ???? ?? ???? ??????? ????? ??? ?? ?????? ????? ???? ???? ????? ???????? ??? ????? ??????",production_user_and_guest_chat_messages,1
?????? ????? ???? ??????? ?? ?? ???? ???????? ????????? ?? ???? ????? ???? ????,Chat Messages_2025_10_natural_instruct,0
??? ???? ??????? ??????? ?????? ?? ?????? ????? ??? ?????,Chat Messages_2025_10_natural_instruct,1
?? ???? ?? ???? ???????,production_user_and_guest_chat_messages,1
?? ?? ?????? ??? ??? ?????,production_user_and_guest_chat_messages,1
???  ??? ?? ??????,production_user_and_guest_chat_messages,0
???? ???? ??????? ?????? ?? ???????? ?? ???????,production_user_and_guest_chat_messages,0
