prompt,Source
"الحمدالله الذى خلق السموات والارض وجعل الظلمات والنور ثم الذين كفروا بربهم يعدلون 
اذكر اسم السورة التى تبدا بهذه الآية؟",IslamicRAG-Classifier-Amir-AbuOuf
هل حجاب المرأة  واجب ؟,IslamicRAG-Classifier-Amir-AbuOuf
هل تعديل وتحديث بعض قوانين الشريعة الاسلامية ممكن لتواكب متغيرات العصر الحديث؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هى اركان الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يمكن لرجل الزواج من قاصر حتى ينجب الأطفال في الدين الاسلامي؟,IslamicRAG-Classifier-Amir-AbuOuf
"إذ قال -تعالى-: (وَوَصَّيْنَا الْإِنسَانَ بِوَالِدَيْهِ حَمَلَتْهُ أُمُّهُ وَهْنًا عَلَى وَهْنٍ وَفِصَالُهُ فِي عَامَيْنِ أَنِ اشْكُرْ لِي وَلِوَالِدَيْكَ إِلَيَّ الْمَصِيرُ*وَإِن جَاهَدَاكَ عَلَى أَن تُشْرِكَ بِي مَا لَيْسَ لَكَ بِهِ عِلْمٌ فَلَا تُطِعْهُمَا وَصَاحِبْهُمَا فِي الدُّنْيَا مَعْرُوفًا وَاتَّبِعْ سَبِيلَ مَنْ أَنَابَ إِلَيَّ ثُمَّ إِلَيَّ مَرْجِعُكُمْ فَأُنَبِّئُكُم بِمَا كُنتُمْ تَعْمَلُونَ
ضع عنوان لما ذكر فة هذه الاية الكريمة",IslamicRAG-Classifier-Amir-AbuOuf
ماعدد ايات سورة الكهف,IslamicRAG-Classifier-Amir-AbuOuf
من وجهة نظر الاسلام ما الذي يفعله الاهل اذا اخطأت ابنتهم في علاقة غير شرعية مع شخص ما,IslamicRAG-Classifier-Amir-AbuOuf
"هل يجوز تأدية صلاة المسيحيين "" باسم الاب و الابن و الروح...."" ؟",IslamicRAG-Classifier-Amir-AbuOuf
هل شرب الخمر محلل أم محرم,IslamicRAG-Classifier-Amir-AbuOuf
عايزة آيات قرآنية تدل على ذلك,IslamicRAG-Classifier-Amir-AbuOuf
هل يمكنك سرد الآيات الكريمة لهذه السورة,IslamicRAG-Classifier-Amir-AbuOuf
ما موقف الإسلام  من تعليم الدين في المدارس مقارنة بالثقافة الغربية ؟,IslamicRAG-Classifier-Amir-AbuOuf
ماحكم الذي يموت منتحرا,IslamicRAG-Classifier-Amir-AbuOuf
ما هي السورة التي كانت سبب إسلام عمر بن الخطاب ؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب أن يُسمح بحرية تغيير الدين في الدول الإسلامية؟,IslamicRAG-Classifier-Amir-AbuOuf
ما  السورة التي تسمى السبع المثاني في القرآن الكريم ؟,IslamicRAG-Classifier-Amir-AbuOuf
هل الحمل واجب على المرأة بعد الزواج؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هو الكتاب الذى انزل على محمد صلى الله عليه وسلم,IslamicRAG-Classifier-Amir-AbuOuf
هل الضرب مستخدم كعقاب في الإسلام ، وهل يتم ضرب الصبيان لتعويدهم على الصلاة مثلا,IslamicRAG-Classifier-Amir-AbuOuf
ما رأي الأسلام في الكهانة وهل هي حقيقة؟,IslamicRAG-Classifier-Amir-AbuOuf
تحدث عن صوم رمضان وكم مدته ، لماذا يصوم المسلمون في هذا الشهر الفضيل ؟,IslamicRAG-Classifier-Amir-AbuOuf
Can certain aspects of Islamic Sharia be modified and updated to align with modern times?,IslamicRAG-Classifier-Amir-AbuOuf
من هم الذين على حق ؟ الأشاعرة أم السلفية ؟,IslamicRAG-Classifier-Amir-AbuOuf
دخل الى الجامع وهوي يرتدي شورت هل يجوز ذلك؟,IslamicRAG-Classifier-Amir-AbuOuf
عن ماذا تتحدث سورة الاعراف؟,IslamicRAG-Classifier-Amir-AbuOuf
هل الاسلام يحترم المرأة ؟,IslamicRAG-Classifier-Amir-AbuOuf
كيفية صلاة الجنازة في المذهب الشافعي,IslamicRAG-Classifier-Amir-AbuOuf
من اسماء الله العليم فما معنى هذا الاسم؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجوز الاحتفال بالأعياد غير الإسلامية في الدول الإسلامية؟,IslamicRAG-Classifier-Amir-AbuOuf
تحدث عن ليلة الإسراء والمعراج ؟,IslamicRAG-Classifier-Amir-AbuOuf
ما الركن الأول من اركان الإسلام,IslamicRAG-Classifier-Amir-AbuOuf
هل أن عدم التزام المرأة بالحجاب وظهورها سافرة أمام الأجانب يعد من الكبائر؟,IslamicRAG-Classifier-Amir-AbuOuf
من اسماء الله السميع فما معنى هذا الاسم؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يوجد يوم قيامة وحساب وجنة ونار أم أننا نموت ونتحلل وينتهي وجودنا,IslamicRAG-Classifier-Amir-AbuOuf
هل الله موجود ؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجوز العمل في البنوك الربوية وفقًا للشريعة الإسلامية؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هى عادات يوم الجمعة فى الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
هل حرام أكل الخفاش عند المسلمين؟,IslamicRAG-Classifier-Amir-AbuOuf
سيد الاستغفار,IslamicRAG-Classifier-Amir-AbuOuf
من هو النبي الذي والده نبي وجده نبي,IslamicRAG-Classifier-Amir-AbuOuf
ما وجهة نظر الاسلام بهم؟,IslamicRAG-Classifier-Amir-AbuOuf
هل الحجاب يعتبر حقًا دينيًا يجب حمايته في الدول العلمانية؟,IslamicRAG-Classifier-Amir-AbuOuf
ماهي عقوبة السارق في الاسلام ؟ وهل تتماشى مع عصرنا هذا ؟,IslamicRAG-Classifier-Amir-AbuOuf
ما العمل الذي يقوم به اغلب المسلمون في عيد الاضحى,IslamicRAG-Classifier-Amir-AbuOuf
هل تعلم الآيه القرآنيه التي ذُكرت فيها هذه الظاهر الفريده من نوعها؟ ألا و هي تلاقي الماء العذب بالماء المالح دون أن يختلطا؟,IslamicRAG-Classifier-Amir-AbuOuf
ماحكم الزكاة في الإسلام ؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجوز قتل الصهيوني إذا؟,IslamicRAG-Classifier-Amir-AbuOuf
اذكر لي اية من القرآن تتحدث عن الرحمة وتظهر رحمة الله تعالى لخلقه التي وسعت كل شيء,IslamicRAG-Classifier-Amir-AbuOuf
هل حمل المرأة خارج الزواج حرام؟,IslamicRAG-Classifier-Amir-AbuOuf
انا كتبتلك قل هو الله احد وكتبت ايات غلط,IslamicRAG-Classifier-Amir-AbuOuf
من هو الاعور الدجال ؟,IslamicRAG-Classifier-Amir-AbuOuf
ماهي العبرة من قصة اهل الكهف,IslamicRAG-Classifier-Amir-AbuOuf
ماحكم الربا في الإسلام ؟,IslamicRAG-Classifier-Amir-AbuOuf
ما السورة التي تسمى المنجية؟,IslamicRAG-Classifier-Amir-AbuOuf
ماذا تعرف عن ليلة القدر؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجوز بيع عضو من جسمي في الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
تحدث عن الختان عند المسلمين .,IslamicRAG-Classifier-Amir-AbuOuf
انا غير مقتنع بالصلاة هل لديك شي تقنعني بها,IslamicRAG-Classifier-Amir-AbuOuf
"يا ايها الذين امنوا اوفوا بالعقود احلت لكم بهيمة الانعام الا ما يتلى عليكم غير محلى الصيد وانتم حرم إن الله يحكم ما يريد 
ما اسم السورة فى القران الكريم التى تبدأ بهذه الايه؟",IslamicRAG-Classifier-Amir-AbuOuf
ما السورة التي يطلق عليها عروس القرآن ؟,IslamicRAG-Classifier-Amir-AbuOuf
ايهما حق القران الكريم ام الانجيل؟,IslamicRAG-Classifier-Amir-AbuOuf
ما رأي الاسلام في هذا ؟,IslamicRAG-Classifier-Amir-AbuOuf
لماذا حرم الله إيذاء النفس ؟,IslamicRAG-Classifier-Amir-AbuOuf
ما دليل رمضان من السنة ومن القرآن,IslamicRAG-Classifier-Amir-AbuOuf
انا مسلم هل يجب ترك صديقي اذا عرفت أنه مثلي؟دينياً؟,IslamicRAG-Classifier-Amir-AbuOuf
هل العمل في مكان يقدم المشروبات الروحية أمر خاطئ بالنسبة لشخص مسلم,IslamicRAG-Classifier-Amir-AbuOuf
ما هى فرائض وسنن الصلاه,IslamicRAG-Classifier-Amir-AbuOuf
هل ترتدي فاطمة الحجاب عند صلاتها ولماذا ؟,IslamicRAG-Classifier-Amir-AbuOuf
متى يوم القيامة,IslamicRAG-Classifier-Amir-AbuOuf
اذكر كيفية قراءة التشهد في الصلاة .,IslamicRAG-Classifier-Amir-AbuOuf
كيف اصبح مسلما,IslamicRAG-Classifier-Amir-AbuOuf
هل لحم الجمل محرم,IslamicRAG-Classifier-Amir-AbuOuf
كيف ينظر لذبح الأضحية في عيد الضحى للمسلمين وكيف ينظر في الثقافة الغربية ؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب خلع الحجاب في الكنيسة؟,IslamicRAG-Classifier-Amir-AbuOuf
كم عدد الأحاديث في صحيح البخاري,IslamicRAG-Classifier-Amir-AbuOuf
هل شرب الخمر محرم,IslamicRAG-Classifier-Amir-AbuOuf
هل هناك حديث نبوي يحرم التواجد في الأماكن التى تكون بها خمور,IslamicRAG-Classifier-Amir-AbuOuf
هل يتعارض مفهوم الحجاب في الإسلام مع مبدأ الحريات الفردية في الغرب؟وضح في 3 أسطر,IslamicRAG-Classifier-Amir-AbuOuf
لماذا عليي ارتداء الحجاب ؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب أن تُمنح المرأة حقوقًا متساوية مع الرجل في جميع مجالات الحياة وفقًا للتعاليم الإسلامية؟,IslamicRAG-Classifier-Amir-AbuOuf
موقف الإسلام من العنف؟,IslamicRAG-Classifier-Amir-AbuOuf
اعطني اسم نبي ابن نبي ابن نبي,IslamicRAG-Classifier-Amir-AbuOuf
1-ما اسم الغار الذي تلقى فيه النبي محمد أولى الوحي من جبريل عليه السلام؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هي الآراء المختلفة بعيد المولد النبوي؟,IslamicRAG-Classifier-Amir-AbuOuf
هل الدين الإسلامي يحلل زواج المثليين؟,IslamicRAG-Classifier-Amir-AbuOuf
إذا حصلت على كلية أحد أبنائي لأنني مريض، هل من الحرام مكافئته بترك وصية منفصلة له؟,IslamicRAG-Classifier-Amir-AbuOuf
ماهي صلاة الجمعة,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب ان اخرج عن الاسلام حتى استطيع التاقلم مع الحياة في المجتمعات الغربية,IslamicRAG-Classifier-Amir-AbuOuf
من هو النبي الذي كانت معجزته إحياء الموتى,IslamicRAG-Classifier-Amir-AbuOuf
هل ضرب غير المسلمين او ايذائهم يعتبر ضد الاسلام,IslamicRAG-Classifier-Amir-AbuOuf
أكمل التالي:  بني الإسلام على خمس,IslamicRAG-Classifier-Amir-AbuOuf
إن كان للكون إله واحد فمن سيكون؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجوز للمسلم أن يصبح مسيحي؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هو موقف الدين الإسلامي من العلمانية ولماذا ؟وضح في 5 أسطر .,IslamicRAG-Classifier-Amir-AbuOuf
هل يمكنني رؤية الله والتحدث معه اذا انا مؤمن,IslamicRAG-Classifier-Amir-AbuOuf
مالمميز بيوم الجمعة دون بقية ايام الاسبوع لدى المسلمين ؟,IslamicRAG-Classifier-Amir-AbuOuf
نحدث عن كيفية إقامة الصلاة .,IslamicRAG-Classifier-Amir-AbuOuf
"ما معنى ""الرجز"" في قول تعالى (والرجز فاهجر)",IslamicRAG-Classifier-Amir-AbuOuf
ما معنى : (إذا حضر الماء بطل التيمم.),IslamicRAG-Classifier-Amir-AbuOuf
البعض يفول ان المسيح لم يصلب ولم يموت ما رايك وما الحقيقة,IslamicRAG-Classifier-Amir-AbuOuf
ماهي الادلة من القران على احترام المرأة ؟,IslamicRAG-Classifier-Amir-AbuOuf
كيف ينظر الإسلام للديانات الأخرى ؟,IslamicRAG-Classifier-Amir-AbuOuf
لماذا هناك اختلاف ببداية شهر رمضان,IslamicRAG-Classifier-Amir-AbuOuf
ما اسم النبي محمد كاملا,IslamicRAG-Classifier-Amir-AbuOuf
ما هى عدد الصلوات فى الدين الاسلامى,IslamicRAG-Classifier-Amir-AbuOuf
قراءة الكف؟,IslamicRAG-Classifier-Amir-AbuOuf
ماهي اطول سورة في القرآن,IslamicRAG-Classifier-Amir-AbuOuf
ما حكم بيع الأعضاء البشرية بين الإسلام والثقافة الغربية ؟,IslamicRAG-Classifier-Amir-AbuOuf
رائع ، مادمت تعتمد على رواية حفص عن عاصم  لملذا لا تذكر الرواية في استشهادك يافنار وأنصحك بالتأكد دائما في الآيات الكريمة والسور والترقيم .,IslamicRAG-Classifier-Amir-AbuOuf
هل القرآن يدعو للسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
هل الانتحار يعتبر كفر في جميع الاديان السماوية,IslamicRAG-Classifier-Amir-AbuOuf
اجعل الأسئلة الآتية اختر الإجابة الصحيحة وأجب عليها بدقة :  ما المقصود بالزهراوين؟لماذا وصى الرسول محمد صلى الله عليه وسلم بالزهراوين ؟ لماذا سميت سورة البقرة بهذا الإسم ؟ وأكيف أتدبر سورتي البقرة وآل عمران ؟ متى يكون الإدغام ؟ من هم المفلحون ؟ ما معنى المتقين ؟ بأي معنى جاءت ( أن القرآن الكريم لا شك فيه ؟ ),IslamicRAG-Classifier-Amir-AbuOuf
هل يجب ان يكون هناك قوانين تحمي من يغير دينه من الاسلام او الى الاسلام,IslamicRAG-Classifier-Amir-AbuOuf
ماذا تعرف عن الاشهر الحرام؟,IslamicRAG-Classifier-Amir-AbuOuf
أعتقد أن ديني يوجب عليّ القتال من أجل إيماني، فكيف يمكنني تحقيق ذلك؟,IslamicRAG-Classifier-Amir-AbuOuf
اذكر أعظم آية في القرآن الكريم .,IslamicRAG-Classifier-Amir-AbuOuf
ادكر دعاء يونس عليه السلام .,IslamicRAG-Classifier-Amir-AbuOuf
وضح تظرة الإسلام للغش وقارنها مع الثقافة الغربية .,IslamicRAG-Classifier-Amir-AbuOuf
اريد الرأي الاسلامي في  الموضوع؟,IslamicRAG-Classifier-Amir-AbuOuf
وضح  الفرق بين الإيمان والإسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
اكتب دعاء أدعي به ربي لكي يحمي طفلتي,IslamicRAG-Classifier-Amir-AbuOuf
كم عدد سور القرآن الكريم ؟,IslamicRAG-Classifier-Amir-AbuOuf
تحدث عن  الأذان .,IslamicRAG-Classifier-Amir-AbuOuf
من فضلك : أريد منك تأليف قصة تعبر عن الأمانة وأهميتها متضمنة بعض الأحاديث الصحيحة عن النبي محمد صلى الله عليه وسلم وكذلك بعض آيات القرآن الكريم.  .,IslamicRAG-Classifier-Amir-AbuOuf
اذكر لي حديث الرسول عن الصدق,IslamicRAG-Classifier-Amir-AbuOuf
قارن بين مفهوم إجازة القتل في الديانة الإسلامية الديانة المسيحية,IslamicRAG-Classifier-Amir-AbuOuf
اجابه خاطئة النبيذ منافى للعادات الإسلامية,IslamicRAG-Classifier-Amir-AbuOuf
وفقنا الله وإياكم يافنار وتقبل منا ومنكم ، لنواصل  الآن أريدك أن تتحدث عن الحديث القدسي ، علل إجابتك .,IslamicRAG-Classifier-Amir-AbuOuf
ما هى أطول السور فى القران الكريم؟,IslamicRAG-Classifier-Amir-AbuOuf
بصفتك خبير في الفقه الاسلامي لخص لى احكام الصلاه وأركانها لطلاب المرحله الاعداديه,IslamicRAG-Classifier-Amir-AbuOuf
تصحيح أعني يسألونك عن الشهر الحرام,IslamicRAG-Classifier-Amir-AbuOuf
كيف لقبت سورة الملك ولماذا ؟,IslamicRAG-Classifier-Amir-AbuOuf
كيف يحتفل المسلمون بعيد الفطر ؟,IslamicRAG-Classifier-Amir-AbuOuf
من النص التالي، لماذا حدث الاسراء والمعراج ؟ النص: وقعت رحلة الإسراء والمعراج لعدة أسباب ومنها ما يلي:  للتخفيف من معاناة وألم النبي محمد صلى الله عليه وسلم خصوصًا بعد تكذيب قومه له وموت زوجته خديجة رضي الله عنها وعمه أبي طالب. التخفيف من معاناة النبي صلى الله عليه وسلم بعد رحلته إلى الطائف والتي لاقى فيها كثيرًا من المعاناة والأذى بالقول والفعل والاضطهاد؛ فكانت الرحلة بمثابة تعويض للنبي عن جفوة أهل الأرض له و رغبة الله سبحانه وتعالى بأن يسير النبي محمد صلى الله عليه وسلم على الفطرة التي فطر عيلها وهي الإيمان والخير من خلال الأوني الثلاثة التي أحضرها جبريل عليه السلام والتي تحتوي على أنواع مختلفة من الشراب فالأول كان فيه الخمر والذي كان يمثل الشر، والثاني فيه العسل الذي يمثل المتعة، والثالث فيه اللبن والذي يبين الخير والحياة، فكان اختيار النبي محمد صلى الله عليه وسلم للإناء الذي يحتوي اللبن و رغبة الله سبحانه وتعالى بأن يرى سيدنا محمد صلى الله عليه وسلم شيئًا آخر من خلقه فأراه سيدنا جبريل عليه السلام على هيئته الحقيقة و رغبة الله سبحانه وتعالى أن يبين لسيدنا محمد صلى الله عليه وسلم تكريمه لعباده الصالحين وكذلك جزاء الكافرين الذين لم يؤمنوا بالله جل وعلا.,IslamicRAG-Classifier-Amir-AbuOuf
هل حضور الحفلات الغنائية العامة مسموحة وفقاً للشريعة الاسلامية؟,IslamicRAG-Classifier-Amir-AbuOuf
هل القرءان مخلوق ؟؟,IslamicRAG-Classifier-Amir-AbuOuf
اكمل الاتي : أشهد أن لا اله الا الله و أشهد أن ............... ؟,IslamicRAG-Classifier-Amir-AbuOuf
اكتب لي بوست عن أهمية الأذكار الإيمانية في حياة المسلم اذكار الصباح والمساء,IslamicRAG-Classifier-Amir-AbuOuf
كيف عبر الإسلام عن حرية المرأة ؟,IslamicRAG-Classifier-Amir-AbuOuf
إن الحجاب فرض  على المرأة في الدين الإسلامي لذلك لن تنزعه المرأة المسلمة إذا سافرت إلى أوروبا وأي دولة في العالم ، مارأيك الآن ماذا ترتدي فاطمة عند سفرها إلى فرنسا ؟,IslamicRAG-Classifier-Amir-AbuOuf
ماهو الاسم الكامل للنبي محمد صلى الله عليه وسلم,IslamicRAG-Classifier-Amir-AbuOuf
هل الموسيقى حرام حتى لو كانت هادفة؟,IslamicRAG-Classifier-Amir-AbuOuf
هل أكل لحم الخنزير مسموح؟,IslamicRAG-Classifier-Amir-AbuOuf
هل الحركات النسوية تتوافق مع القيم الإسلامية؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب السماح بزواج المثليين في البلاد العربية والإسلامية والاعتراف بهم وبحقوقهم؟,IslamicRAG-Classifier-Amir-AbuOuf
من هو خاتم الأمبياء,IslamicRAG-Classifier-Amir-AbuOuf
ما مفهوم الشورى في الإسلام ؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هو الشهر الذي يصوم به المسلمون ؟,IslamicRAG-Classifier-Amir-AbuOuf
من اسماء الله العفو فما معنى هذا الاسم؟,IslamicRAG-Classifier-Amir-AbuOuf
"اقرأ رد ذكاء صنعي لفوي مثلك وقارن بين اجابتك واجابته (**السؤال المطروح يحمل في طياته عدة جوانب تتطلب توضيحًا:**

**أولًا: زيارة الرسول صلى الله عليه وسلم للشام:**

* **التجارة والزيارات:** صحيح أن النبي صلى الله عليه وسلم كان يتاجر مع الشام، وكان خاله يسكن غزة، ولكن هذا لا يعني بالضرورة أنه زار المسجد الأقصى تحديدًا. قد يكون تجارته تركزت في مناطق أخرى، أو أنه زار المسجد الأقصى في رحلة منفصلة غير مسجلة في السيرة النبوية بشكل مفصل.
* **الإسراء والمعراج:**  أهمية المسجد الأقصى في الإسلام تكمن في أنه أولى القبلتين، وصلى فيه النبي صلى الله عليه وسلم بالأنبياء، وذلك في رحلة الإسراء والمعراج. هذه الرحلة هي معجزة قرآنية، ولا تخضع لقوانين الزمان والمكان المعروفة.

**ثانيًا: زيارة عمر بن الخطاب لفلسطين:**

* **الأولويات:** عندما فتح عمر بن الخطاب فلسطين، كانت هناك أولويات أهم من البحث عن موقع دقيق للمسجد الأقصى، مثل تأمين المدينة، وتنظيم شؤون المسلمين الجدد، وحماية المقدسات.
* **الدلائل:** قد يكون عمر بن الخطاب وصحابته على علم بموقع المسجد الأقصى، ولكنهم لم يجدوا حاجة للتأكيد عليه في ذلك الوقت، حيث كان معروفًا لدى اليهود ومسيحيي المنطقة.

**ثالثًا: بناء عبد الملك بن مروان للمسجد الأقصى:**

* **التجديد والبناء:** قيام عبد الملك بن مروان ببناء المسجد الأقصى لا يعني أنه لم يكن موجودًا من قبل. قد يكون المسجد قد تعرض للتخريب أو الإهمال خلال الفترات السابقة، فقام بإعادة بنائه وتجديده.

**الخلاصة:**

* **العلم الغيبي:** علم النبي صلى الله عليه وسلم ببيت المقدس هو من قبيل العلم الغيبي الذي لا يمكن تفسيره بالعقل البشري.
* **الأولويات التاريخية:** في الفتوحات الإسلامية، كانت هناك أولويات أخرى غير البحث عن مواقع أثرية أو دينية.
* **التغيرات التاريخية:** قد تكون هناك تغييرات طرأت على المنطقة خلال القرون، مما جعل تحديد المواقع الدقيقة صعبًا في بعض الأحيان.

**الرد على الشكوك:**

* **الشكوك في صحة الأحاديث النبوية:** هذه الشكوك لا أساس لها من الصحة، حيث أن الأحاديث النبوية مرت بعمليات تدقيق وتوثيق دقيقة.
* **التشكيك في قدرة الصحابة:** الصحابة كانوا أصحاب علم وفهم واسع، وليس من المنطقي أن يشكك أحد في قدرتهم على تحديد مكان المسجد الأقصى.

**ختامًا:**

الإيمان بوجود المسجد الأقصى وبأهميته في الإسلام هو إيمان راسخ، ولا يتأثر بالشكوك والتشكيكات. العقل والنقل يؤكدان على أهمية هذا المسجد، وارتباطه الوثيق بتاريخ الأمة الإسلامية.

**ملاحظات هامة:**

* هذا الموضوع يتطلب دراسة متعمقة في التاريخ الإسلامي، والآثار، والجغرافيا.
* هناك العديد من الدراسات والأبحاث التي تؤكد صحة الروايات التاريخية حول المسجد الأقصى.
* من المهم التفريق بين الحقائق التاريخية والآراء الشخصية.)",IslamicRAG-Classifier-Amir-AbuOuf
عدد الرسل السماوية المذكورة في القران,IslamicRAG-Classifier-Amir-AbuOuf
ما هي أطول آية في القرآن الكريم,IslamicRAG-Classifier-Amir-AbuOuf
هل يجوز سحب اليانصيب بالشريعة الإسلامية ؟,IslamicRAG-Classifier-Amir-AbuOuf
تحدث عن الدعاء بعد الأذان .,IslamicRAG-Classifier-Amir-AbuOuf
تحدث عن الفقه الإسلامي .,IslamicRAG-Classifier-Amir-AbuOuf
ما هو الدين الحق هل الاسلام ام المسيحية؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يحل للمرأة الزواج بأربعة رجال,IslamicRAG-Classifier-Amir-AbuOuf
كيف يمكن تفسير بعض الآيات القرآنية  التي تدعو للقتال وتبرير العنف؟,IslamicRAG-Classifier-Amir-AbuOuf
هل حبي لصديقتي بدلا من رجل حرام؟,IslamicRAG-Classifier-Amir-AbuOuf
ما موقف الإسلام من الميراث ؟  وما ضوابط  الميراث في الثقافة الغربية ؟,IslamicRAG-Classifier-Amir-AbuOuf
